Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary and Interstate Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
070117,  US,00001,     ,US 1, ,058,Mecklenburg County,058,Mecklenburg County,1.99,North Carolina State Line,58-712 Paschall Rd; Palmer Springs Rd,1100,G,85%,1%,1%,4%,9%,0%,C,0.0819,F,0.5000,1200,G,2008,,,,,,,,,,,,,,,
140130,  US,00001,     ,US 1, ,058,Mecklenburg County,058,Mecklenburg County,6.98,58-712 Palmer Springs Rd,US 58 Big Fork,1800,G,85%,1%,1%,4%,9%,0%,F,0.0906,F,0.5104,1900,G,2008,,,,,,,,,,,,,,,
140131,  US,00001,     ,"US 58, US 1", ,058,Mecklenburg County,058,Mecklenburg County,3.15,US 58 Big Fork,US 58 Near SWCL South Hill,10000,G,95%,1%,1%,0%,2%,0%,F,0.0919,F,0.5759,11000,G,2008,,,,,,,,,,,,,,,
671224,  US,00001,     ,"US 58, US 1", ,058,Mecklenburg County,058,Mecklenburg County,0.28,US 58 Near SWCL South Hill,58-780,6100,N,81%,1%,1%,1%,15%,0%,N,0.0956,N,0.5856,6000,N,2008,,,,,,,,,,,,,,,
140160,  US,00001,     ,"US 1, Bus US 58",Danville St,058,Mecklenburg County,058,Mecklenburg County,0.16,Bus US 58,SCL South Hill,5100,N,95%,1%,1%,0%,2%,0%,N,0.1146,N,0.5668,5600,N,2008,,,,,,,,,,,,,,,
671213,  US,00001,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,1.89,SCL South Hill,Locust St,5100,G,95%,1%,1%,0%,2%,0%,C,0.1146,F,0.5668,5600,G,2008,,,,,,,,,,,,,,,
671212,  US,00001,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,0.28,Locust St,Plank Rd,7900,G,95%,1%,1%,0%,2%,0%,F,0.0961,F,0.5153,8500,G,2008,,,,,,,,,,,,,,,
671210,  US,00001,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,0.09,Plank Rd,Goodes Ferry Blvd,8600,G,96%,1%,1%,1%,1%,0%,C,0.0940,F,0.5531,9300,G,2008,,,,,,,,,,,,,,,
671201,  US,00001,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,0.23,Goodes Ferry Blvd,Mecklenburg Ave,8200,G,95%,1%,2%,1%,1%,0%,C,0.0915,F,0.5567,8900,G,2008,,,,,,,,,,,,,,,
671199,  US,00001,     ,"US 1, Bus US 58",Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.16,Danville St,US 58 BUS; SR 47 Atlantic St,8100,G,96%,1%,1%,1%,2%,0%,C,0.0895,F,0.5429,8800,G,2008,,,,,,,,,,,,,,,
671198,  US,00001,     ,US 1,Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.08,US 58 BUS; SR 47 Atlantic St,Windsor St,7900,G,96%,1%,1%,0%,2%,0%,C,0.0974,F,0.5518,8500,G,2008,,,,,,,,,,,,,,,
671196,  US,00001,     ,US 1,Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.58,Windsor St,E Ferrell St,9400,G,97%,1%,1%,0%,1%,0%,C,0.0918,F,0.5061,10000,G,2008,,,,,,,,,,,,,,,
671219,  US,00001,     ,US 1,Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,2.26,E Ferrell St,NCL South Hill,6500,G,96%,1%,1%,0%,2%,0%,C,0.0987,F,0.5229,7100,G,2008,,,,,,,,,,,,,,,
140132,  US,00001,     ,US 1, ,058,Mecklenburg County,058,Mecklenburg County,3.54,NCL South Hill,Brunswick County Line,1800,G,96%,1%,1%,0%,2%,0%,F,0.0887,F,0.5887,1900,G,2008,,,,,,,,,,,,,,,
140133,  US,00001,     ,US 1,Boydton Plank Rd,012,Brunswick County,012,Brunswick County,0.57,Mecklenburg County Line,12-657 Tanner Town Rd,1600,G,96%,1%,1%,0%,2%,0%,F,0.0965,F,0.5806,1700,G,2008,,,,,,,,,,,,,,,
140134,  US,00001,     ,US 1,Boydton Plank Rd,012,Brunswick County,012,Brunswick County,4.32,12-657 Tanner Town Rd,12-644,1300,G,83%,1%,1%,1%,14%,0%,C,0.1070,F,0.5315,1500,G,2008,,,,,,,,,,,,,,,
140135,  US,00001,     ,US 1,Boydton Plank Rd,012,Brunswick County,012,Brunswick County,3.23,12-644,SR 46 Cochran,1300,G,83%,1%,1%,1%,14%,0%,F,0.1056,F,0.5047,1400,G,2008,,,,,,,,,,,,,,,
140136,  US,00001,     ,US 1,Boydton Plank Rd,012,Brunswick County,012,Brunswick County,1.25,SR 46 Cochran,I-85 South of Alberta,2500,G,83%,1%,1%,1%,14%,0%,F,0.0919,F,0.5343,2700,G,2008,,,,,,,,,,,,,,,
140137,  US,00001,     ,US 1,Boydton Plank Rd,012,Brunswick County,012,Brunswick County,0.46,I-85 South of Alberta,SCL Alberta,2200,G,91%,2%,1%,0%,5%,0%,F,0.0972,F,0.5136,2400,G,2008,,,,,,,,,,,,,,,
140138,  US,00001,     ,US 1,Boydton Plank Rd,161,Town of Alberta,012,Brunswick County,1.55,SCL Alberta,NCL Alberta,1200,G,91%,2%,1%,0%,5%,0%,F,0.0966,F,0.5272,1300,G,2008,,,,,,,,,,,,,,,
140139,  US,00001,     ,US 1,Boydton Plank Rd,012,Brunswick County,012,Brunswick County,4.07,NCL Alberta,S 12-630,1600,G,91%,2%,1%,0%,5%,0%,C,0.1155,F,0.5682,1700,G,2008,,,,,,,,,,,,,,,
140140,  US,00001,     ,US 1,Boydton Plank Rd,012,Brunswick County,012,Brunswick County,5.39,S 12-630,Dinwiddie County Line,850,G,91%,2%,1%,0%,5%,0%,F,0.0975,F,0.5260,920,G,2008,,,,,,,,,,,,,,,
140141,  US,00001,     ,US 1,Boydton Plank Rd,026,Dinwiddie County,026,Dinwiddie County,2.46,Brunswick County Line,SCL McKenney,1400,F,96%,1%,1%,1%,1%,0%,F,,,,1500,F,2008,,,,,,,,,,,,,,,
140181,  US,00001,     ,US 1,Boydton Plank Rd,257,Town of McKenney,026,Dinwiddie County,0.23,SCL McKenney,SR 40,1400,N,96%,1%,1%,1%,1%,0%,N,,,,1500,N,2008,,,,,,,,,,,,,,,
140142,  US,00001,     ,US 1,Boydton Plank Rd,257,Town of McKenney,026,Dinwiddie County,0.33,SR 40,NCL McKenney,2000,F,96%,1%,1%,1%,1%,0%,F,0.0929,F,0.0000,2100,F,2008,,,,,,,,,,,,,,,
140182,  US,00001,     ,US 1,Boydton Plank Rd,026,Dinwiddie County,026,Dinwiddie County,4.05,NCL McKenney,26-649 Snap Lodge Rd,2000,N,96%,1%,1%,1%,1%,0%,N,0.0929,N,0.0000,2100,N,2008,,,,,,,,,,,,,,,
140143,  US,00001,     ,US 1,Boydton Plank Rd,026,Dinwiddie County,026,Dinwiddie County,5.65,26-649 Snap Lodge Rd,26-627 Courthouse Rd,2200,F,96%,1%,1%,1%,1%,0%,F,0.0981,F,0.6888,2400,F,2008,,,,,,,,,,,,,,,
140144,  US,00001,     ,US 1,Boydton Plank Rd,026,Dinwiddie County,026,Dinwiddie County,2.48,26-627 Courthouse Rd,26-740 Turkey Egg Rd,3900,F,96%,1%,1%,1%,1%,0%,C,0.0994,F,0.0000,4200,F,2008,,,,,,,,,,,,,,,
140145,  US,00001,     ,US 1,Boydton Plank Rd,026,Dinwiddie County,026,Dinwiddie County,3.61,26-740 Turkey Egg Rd,S 26-613 Dabney Mill Rd,5400,F,96%,1%,1%,1%,1%,0%,F,0.1011,F,0.0000,5800,F,2008,,,,,,,,,,,,,,,
