Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warwick Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
653210,  US,00017,     ,"US 17, US 258, VA 32",Mercury Blvd,121,City of Newport News,121,City of Newport News,0.22,Isle of Wight County Line,US 60 Warwick Blvd,28000,G,97%,0%,0%,1%,1%,0%,F,0.0914,F,0.7007,30000,G,2008,,,,,,,,,,,,,,,
653209,  US,00017,     ,"US 17, US 258, VA 32",Mercury Blvd,121,City of Newport News,121,City of Newport News,0.56,US 60 Warwick Blvd,"US 258, SR 143 Jefferson Ave",37000,G,97%,0%,0%,1%,1%,0%,F,0.0933,F,0.5729,39000,G,2008,,,,,,,,,,,,,,,
653208,  US,00017,     ,"US 17, VA 143",Jefferson Ave,121,City of Newport News,121,City of Newport News,1.31,US 258 Mercury Blvd,SR 152 Main St,42000,G,98%,1%,1%,0%,0%,0%,F,0.0814,F,0.5917,46000,G,2008,,,,,,,,,,,,,,,
150101,  US,00017,     ,"US 17, VA 143",Jefferson Ave,121,City of Newport News,121,City of Newport News,1.69,SR 152 Main St,SR 306 Harpersville Rd,43000,A,98%,1%,1%,0%,0%,0%,C,0.0949,A,0.0000,47000,A,2008,,,,,,,,,,,,,,,
653205,  US,00017,     ,"US 17, VA 143",Jefferson Ave,121,City of Newport News,121,City of Newport News,1.12,SR 306 Harpersville Rd,SR 312 J Clyde Morris Blvd,50000,G,98%,1%,1%,0%,0%,0%,F,,,,55000,G,2008,,,,,,,,,,,,,,,
653204,  US,00017,     ,US 17,J Clyde Morris Blvd,121,City of Newport News,121,City of Newport News,1.28,SR 143 Jefferson Ave,I-64,42000,G,98%,1%,1%,0%,0%,0%,F,,,,46000,G,2008,,,,,,,,,,,,,,,
653202,  US,00017,     ,US 17,J Clyde Morris Blvd,121,City of Newport News,121,City of Newport News,0.80,I-64,121-7034 Harpersville Rd,37000,G,98%,0%,0%,0%,0%,0%,F,0.0809,F,0.5779,39000,G,2008,,,,,,,,,,,,,,,
653201,  US,00017,     ,US 17,J Clyde Morris Blvd,121,City of Newport News,121,City of Newport News,0.25,121-7034 Harpersville Rd,NCL Newport News,35000,G,98%,0%,0%,0%,0%,0%,F,0.0815,F,0.5421,38000,G,2008,,,,,,,,,,,,,,,
653210,  SR,00032,     ,"US 17, US 258, VA 32",Mercury Blvd,121,City of Newport News,121,City of Newport News,0.22,Isle of Wight County Line,US 60 Warwick Blvd,28000,G,97%,0%,0%,1%,1%,0%,F,0.0914,F,0.7007,30000,G,2008,,,,,,,,,,,,,,,
