Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
658136,  US,00001,     ,,Washington St,123,City of Petersburg,123,City of Petersburg,0.40,WCL Petersburg,Summit St,13000,G,98%,0%,1%,1%,1%,0%,F,,,,14000,G,2009,,,,,,,,,,,,,,,
658137,  US,00001,     ,,Washington St,123,City of Petersburg,123,City of Petersburg,0.18,Summit St,Elm St,13000,G,98%,0%,1%,1%,1%,0%,F,,,,14000,G,2009,,,,,,,,,,,,,,,
658139,  US,00001,     ,,Washington St,123,City of Petersburg,123,City of Petersburg,0.57,Elm St,US 1 Par; Wythe St,14000,G,96%,1%,1%,1%,1%,0%,F,0.0854,F,0.0000,16000,G,2009,,,,,,,,,,,,,,,
658143,  US,00001,     ,,Wythe St,123,City of Petersburg,123,City of Petersburg,1.08,"US 1 Par, Washington St; Battersea Lane",Perry St,7600,G,96%,1%,1%,1%,1%,0%,C,0.0820,F,1.0000,8300,G,2009,,16000,G,96%,1%,1%,1%,1%,0%,F,,,,18000,G
658144,  US,00001,     ,,Wythe St,123,City of Petersburg,123,City of Petersburg,0.15,Perry St,SR 36 Market St,9200,G,96%,1%,1%,1%,1%,0%,F,,,,10000,G,2009,,19000,G,96%,1%,1%,1%,1%,0%,F,,,,20000,G
658145,  US,00001,     ,,Wythe St,123,City of Petersburg,123,City of Petersburg,0.20,SR 36 Market St,ALT US 301 Sycamore St,9900,G,96%,1%,1%,1%,1%,0%,F,,,,11000,G,2009,,,,,,,,,,,,,,,
658051,  US,00001,     ,,Wythe St,123,City of Petersburg,123,City of Petersburg,0.20,ALT US 301 Sycamore St,Bus US 460 Jefferson St,12000,G,96%,1%,1%,1%,1%,0%,F,,,,13000,G,2009,,27000,G,95%,1%,1%,1%,2%,0%,F,,,,29000,G
658081,  US,00001,     ,,Jefferson St,123,City of Petersburg,123,City of Petersburg,0.09,Bus US 460 Wythe St,"Bus US 460 Par, Washington St",3900,G,96%,1%,1%,1%,1%,0%,F,0.0818,F,0.6871,4300,G,2009,,,,,,,,,,,,,,,
658082,  US,00001,     ,,Jefferson St,123,City of Petersburg,123,City of Petersburg,0.26,"Bus US 460 Par, Washington St",Henry St,790,G,96%,1%,1%,1%,1%,0%,F,0.0955,F,0.6742,860,G,2009,,,,,,,,,,,,,,,
140149,  US,00001,     ,,3rd St,123,City of Petersburg,123,City of Petersburg,0.05,Henry St,"US 301 Par, Bank St",330,G,96%,1%,1%,1%,1%,0%,F,0.1152,F,0.5732,350,G,2009,,,,,,,,,,,,,,,
