Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
686709,  US,00011,     ,"US 11, US 460",West Main St,129,City of Salem,129,City of Salem,1.12,WCL Salem,SR 112 Wildwood Rd,18000,G,96%,1%,1%,2%,2%,0%,F,0.0803,F,0.5181,21000,G,2011,,,,,,,,,,,,,,,
686110,  US,00011,     ,"US 11, US 460",West Main St,129,City of Salem,129,City of Salem,1.31,SR 112 Wildwood Rd,"ALT US 460, 4th St",27000,G,98%,0%,1%,0%,0%,0%,F,0.0808,F,0.5241,31000,G,2011,,,,,,,,,,,,,,,
666109,  US,00011,     ,"US 11, US 460",West Main St,129,City of Salem,129,City of Salem,0.60,"ALT US 460, 4th St",Academy St,15000,G,98%,0%,1%,0%,0%,0%,F,0.0821,F,0.5096,17000,G,2011,,,,,,,,,,,,,,,
686108,  US,00011,     ,"US 11, US 460",West Main St,129,City of Salem,129,City of Salem,0.35,Academy St,College Ave,13000,G,98%,0%,1%,0%,0%,0%,F,0.0802,F,0.5172,15000,G,2011,,,,,,,,,,,,,,,
686109,  US,00011,     ,US 11,College Ave,129,City of Salem,129,City of Salem,0.09,"US 460, Main St","SR 311, Thompson Memorial Dr",2500,G,98%,0%,1%,0%,0%,0%,F,0.1027,F,0.5807,2800,G,2011,,,,,,,,,,,,,,,
686103,  US,00011,     ,US 11,College Ave,129,City of Salem,129,City of Salem,0.72,"SR 311, Thompson Memorial Dr",8th St,5700,G,98%,0%,1%,0%,0%,0%,F,0.0965,F,0.5321,6500,G,2011,,,,,,,,,,,,,,,
686104,  US,00011,     ,US 11,Colorado St,129,City of Salem,129,City of Salem,0.43,8th St,Apperson Dr,16000,G,98%,0%,1%,0%,0%,0%,F,,,,18000,G,2011,,,,,,,,,,,,,,,
686102,  US,00011,     ,US 11,Apperson Dr,129,City of Salem,129,City of Salem,1.03,Colorado St,SR 419 Electric Rd,20000,G,98%,0%,1%,0%,0%,0%,F,0.0882,F,0.5068,22000,G,2011,,,,,,,,,,,,,,,
686101,  US,00011,     ,US 11,Apperson Dr,129,City of Salem,129,City of Salem,1.04,SR 419 Electric Rd,WCL Roanoke,13000,G,98%,0%,1%,0%,0%,0%,F,0.0889,F,0.5198,15000,G,2011,,,,,,,,,,,,,,,
686118,A1US,00011,     ,"Alt US 460, Alt US 11",4th St,129,City of Salem,129,City of Salem,0.40,W Main St,Elm St,16000,G,97%,0%,1%,1%,1%,0%,F,0.0835,F,0.5576,18000,G,2011,,,,,,,,,,,,,,,
