ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011	Prepared	8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction, with Towns Combined into Counties																														
Public Road Segments within the Commonwealth of Virginia																														
Road Length values temporarilly not included in this report pending publication of official road length values																														
2011																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
										Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
										Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction							DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
 		001	Accomack County					              	310,477	0.48%	0.14%				884,782	0.97%	0.40%				0	0.00%	0.00%				1,195,258	0.54%		
 		002	Albemarle County					              	888,056	1.37%	0.40%				1,509,933	1.66%	0.68%				1,085,517	1.65%	0.49%				3,483,506	1.57%		
 		003	Alleghany County					              	135,731	0.21%	0.06%				133,393	0.15%	0.06%				447,505	0.68%	0.20%				716,629	0.32%		
 		004	Amelia County					              	182,083	0.28%	0.08%				338,659	0.37%	0.15%				0	0.00%	0.00%				520,742	0.23%		
 		005	Amherst County					              	208,392	0.32%	0.09%				748,648	0.82%	0.34%				0	0.00%	0.00%				957,040	0.43%		
 		006	Appomattox County					              	131,852	0.20%	0.06%				328,868	0.36%	0.15%				0	0.00%	0.00%				460,720	0.21%		
 		000	Arlington County					              	1,226,729	1.89%	0.55%				1,950,868	2.15%	0.88%				1,394,573	2.12%	0.63%				4,572,169	2.06%		
 		007	Augusta County					              	624,257	0.96%	0.28%				853,184	0.94%	0.38%				1,754,488	2.66%	0.79%				3,231,929	1.46%		
 		008	Bath County					              	57,913	0.09%	0.03%				84,897	0.09%	0.04%				0	0.00%	0.00%				142,810	0.06%		
