Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Chase City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
614006,  SR,00047,     ,VA 47,E Second St,186,Town of Chase City,058,Mecklenburg County,0.48,ECL Chase City,Drew St,4300,G,93%,1%,1%,1%,4%,0%,C,0.0909,F,0.6235,4400,G,2011,,,,,,,,,,,,,,,
614017,  SR,00047,     ,VA 47,E Second St,186,Town of Chase City,058,Mecklenburg County,0.21,Drew St,186-5 Marshall St,6400,G,93%,1%,1%,1%,4%,0%,F,0.0946,F,0.5606,6500,G,2011,,,,,,,,,,,,,,,
781325,  SR,00047,     ,VA 47,E Second St,186,Town of Chase City,058,Mecklenburg County,0.05,186-5 Marshall St,"SR 49, SR 92",6400,N,93%,1%,1%,1%,4%,0%,N,0.0946,N,0.5606,6500,N,2011,,,,,,,,,,,,,,,
614018,  SR,00047,     ,"VA 49, VA 47",N Main St,186,Town of Chase City,058,Mecklenburg County,0.24,"SR 49, SR 92",E FIFTH ST,7800,G,95%,1%,1%,0%,3%,0%,F,0.0862,F,0.5703,7900,G,2011,,,,,,,,,,,,,,,
614005,  SR,00047,     ,"VA 49, VA 47",N Main St,186,Town of Chase City,058,Mecklenburg County,1.02,E FIFTH ST,"SR 49, WCL Chase City",7300,G,95%,1%,1%,1%,3%,0%,C,0.0895,F,0.5409,7500,G,2011,,,,,,,,,,,,,,,
614001,  SR,00049,     ,VA 49,W Second St,186,Town of Chase City,058,Mecklenburg County,0.23,WCL Chase City,SR 92,1800,G,95%,1%,1%,0%,3%,0%,C,0.1007,F,0.5590,1900,G,2011,,,,,,,,,,,,,,,
614003,  SR,00049,     ,"VA 49, VA 92",W Second St,186,Town of Chase City,058,Mecklenburg County,0.56,SR 92,Endly St,5300,G,95%,1%,1%,0%,2%,0%,C,0.0942,F,0.5541,5400,G,2011,,,,,,,,,,,,,,,
614016,  SR,00049,     ,"VA 49, VA 92",E Second St,186,Town of Chase City,058,Mecklenburg County,0.19,Endly St,N Main St,6200,G,95%,1%,1%,0%,3%,0%,F,0.0899,F,0.5402,6400,G,2011,,,,,,,,,,,,,,,
614018,  SR,00049,     ,"VA 49, VA 47",N Main St,186,Town of Chase City,058,Mecklenburg County,0.24,E Second St,E Fifth St,7800,G,95%,1%,1%,0%,3%,0%,F,0.0862,F,0.5703,7900,G,2011,,,,,,,,,,,,,,,
614005,  SR,00049,     ,"VA 49, VA 47",N Main St,186,Town of Chase City,058,Mecklenburg County,1.02,E Fifth St,SR 47,7300,G,95%,1%,1%,1%,3%,0%,C,0.0895,F,0.5409,7500,G,2011,,,,,,,,,,,,,,,
