Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Fredericksburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
150124,  US,00001,     ,US 1,Jefferson Davis Blvd,111,City of Fredericksburg,111,City of Fredericksburg,1.48,SCL Fredericksburg,SR 3,31000,A,98%,0%,1%,0%,0%,0%,C,0.0968,A,0.5582,33000,A,2012,,,,,,,,,,,,,,,
631021,  US,00001,     ,US 1,Jefferson Davis Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.90,SR 3,College Ave,28000,G,98%,0%,1%,0%,0%,0%,F,,,,31000,G,2012,,,,,,,,,,,,,,,
631022,  US,00001,     ,US 1,Jefferson Davis Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.59,College Ave,Fall Hill Ave,28000,G,98%,0%,1%,0%,0%,0%,F,0.0819,F,0.5674,30000,G,2012,,,,,,,,,,,,,,,
631023,  US,00001,     ,US 1,Jefferson Davis Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.29,Fall Hill Ave,Bus US 1 Princess Anne Ave,23000,G,98%,0%,1%,0%,0%,0%,F,0.0837,F,0.6386,25000,G,2012,,,,,,,,,,,,,,,
631068,  US,00001,     ,"US 1, Bus US 17",Jefferson Davis Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.11,BUS US 1 Princess Anne Ave,NCL Fredericksburg,31000,N,98%,0%,1%,0%,0%,0%,N,0.0863,N,0.5643,33000,N,2012,,,,,,,,,,,,,,,
631026,C1US,00001,     ,Bus US 1,LaFayette Blvd,111,City of Fredericksburg,111,City of Fredericksburg,1.42,SCL Fredericksburg,SR 3; Blue and Grey Parkway,21000,G,97%,0%,1%,1%,1%,0%,F,0.0830,F,0.5422,22000,G,2012,,,,,,,,,,,,,,,
631027,C1US,00001,     ,Bus US 1,LaFayette Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.38,SR 3; Blue and Grey Parkway,111-3957 Sunken Rd,10000,G,97%,0%,1%,1%,1%,0%,F,0.0915,F,0.6250,11000,G,2012,,,,,,,,,,,,,,,
631028,C1US,00001,     ,Bus US 1,LaFayette Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.56,111-3957 Sunken Rd,111-3961 Kenmore Ave,10000,G,97%,0%,1%,1%,1%,0%,F,0.0924,F,0.5944,11000,G,2012,,,,,,,,,,,,,,,
